,Job_ID,Position_Title,Department,Location ,Description ,Skills required,Qualification_Required,Status ,text
0,R-7478,Desktop Support Engineer (Thungela),Altron Systems Integration,Thungela (Witbank),"We are looking for a Desktop Support Engineer as a field 
services support at various Thungela mines/sites in the Malahleni area.",Not Provided,National Certificate Level 4 (N4) / Grade 12  (Required),,"Desktop Support Engineer (Thungela) Not Provided We are looking for a Desktop Support Engineer as a field 
services support at various Thungela mines/sites in the Malahleni area."
1,R-7516,Technician: Support,Altron Managed Solutions,"
Polokwane",Not Provided,Not Provided,"Matric qualification,A+ N+ Qualification,A+ N+ Qualification,Mechanical Skills,Electronic Skills,Soldering Skills,Faulting Find techniques",,Technician: Support Not Provided Not Provided
2,R-7600,Technician: Support,Altron Managed Solutions,Cape Town Rainbow Park,Not Provided,Not Provided,"Matric qualification,A+ N+ Qualification,A+ N+ Qualification,Mechanical Skills,Electronic Skills,Soldering Skills,Faulting Find techniques",,Technician: Support Not Provided Not Provided
3,R-7535,Application Support Engineer,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,3 Year tertiary qualification or a relevant IT qualification,,Application Support Engineer Not Provided Not Provided
4,R-7609,Business Applications Delivery Lead (Dynamics 365 Finance & Operations),,"
Altron Campus Woodmead Block E",Not Provided,Not Provided,Microsoft Certification (Dynamics 365 Finance & Operation).,,Business Applications Delivery Lead (Dynamics 365 Finance & Operations) Not Provided Not Provided
5,R-7636,Business Development Manager,Altron Nexus,Cape Town,"Financially justify the value of their solutions in sophisticated financial justification models.
Manage the ‘power base’ within the ‘Buying Centre’. They are both already accomplished in the fundamental attributes of Solution Selling, which are typically:",Not Provided,"Business Management Degree/Diploma and/or equivalent Technical Diploma in IT, Radio Communication or Transmission ",,"Business Development Manager Not Provided Financially justify the value of their solutions in sophisticated financial justification models.
Manage the ‘power base’ within the ‘Buying Centre’. They are both already accomplished in the fundamental attributes of Solution Selling, which are typically:"
6,R-7629,Administrator Accounts Recievable,,Altron Campus Woodmead Block F,Not Provided,Not Provided,"Matric,Advanced Certificate ICD10 Coding.",,Administrator Accounts Recievable Not Provided Not Provided
7,R-6126,Systems Engineer,,Altron Campus Woodmead Block A,Not Provided,Not Provided,"A+ Computer Technician,N+ Networking,ITIL Foundation,Veeam – VMCE preferred,VMware Certified Professional– Data Center Virtualization,Veritas NetBackup and Backup Exec.",,Systems Engineer Not Provided Not Provided
8,R-7607,Application Support Engineer (DevOps),,Altron Campus Woodmead Block A,Not Provided,Not Provided,BTech Degree,,Application Support Engineer (DevOps) Not Provided Not Provided
9,R-7585,Software QA Engineer,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,"N. Diploma or B-Tech,Degree in Information Technology,Computer Science,Engineering degree
ISTQB certification",,Software QA Engineer Not Provided Not Provided
10,R-7570,Support Technician Lichtenburg (Expression of Interst),Altron Managed Solutions,Rustenburg,Not Provided,Not Provided,"National Certificate Level 4 (N4),Grade 12: Electrical Engineering (Required)",,Support Technician Lichtenburg (Expression of Interst) Not Provided Not Provided
11,R-7567,Training and Installation Consultant,ACS,Cape Town,Not Provided,Not Provided,"Matric,CompTIA / A+ and N+ a minimum requirement",,Training and Installation Consultant Not Provided Not Provided
12,R-7495,Senior Specialist- Strategic Account Manager,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,National Certificate Level 4 (N4) / Grade 12,,Senior Specialist- Strategic Account Manager Not Provided Not Provided
13,R-7561,Training and Installation Consultant,,Altron Campus Polokwane,Not Provided,Not Provided,"Matric,CompTIA / A+ and N+ a minimum requirement",,Training and Installation Consultant Not Provided Not Provided
14,R-6562,Senior Account Manager,,Altron Campus Woodmead Block E,Not Provided,Not Provided,"Microsoft Fundamental Exams (Azure, D365, M365)",,Senior Account Manager Not Provided Not Provided
