title,description,requirements,required_education,location
6043,4506,3829,13,2535
2183,7255,10526,13,1073
1763,7470,4560,13,1867
299,9590,3166,1,1703
975,5724,6495,1,1741
375,5861,11968,13,2084
4296,14330,11200,5,216
5550,13977,3811,13,1564
4201,5445,5112,13,1772
2210,10009,5418,4,1383
244,7952,6106,1,2400
10118,11546,10376,13,625
654,9773,7647,1,1688
4881,4112,9966,9,1763
298,1602,11434,1,38
10668,1056,4910,1,1217
4263,12414,6287,13,898
9663,4812,493,13,724
10762,6200,11968,13,2535
7336,4245,5675,13,2751
5999,5570,4752,13,2834
3716,11911,11115,5,1083
3164,10746,7906,1,0
10725,153,4741,9,1428
2179,12004,11968,13,625
4176,5083,4649,13,2536
6035,12186,9616,13,1214
4180,4935,7861,5,5
10114,354,11968,13,2270
2199,10061,5362,4,166
2282,10885,6806,4,2074
9448,3426,5572,9,1986
2082,2994,7786,9,2994
1844,1100,3313,1,1583
4589,3592,4326,13,600
3205,7918,9893,1,2565
4080,7908,9902,1,2582
6966,14482,11968,1,2872
686,14227,10245,13,916
7886,10896,7223,4,1899
3205,7918,9893,1,2722
3205,7917,9893,1,1548
5255,4077,11968,1,1248
2218,9913,5395,4,2103
2275,12284,7235,4,2670
4844,1886,1698,13,2358
3238,13374,264,1,258
2199,9889,5349,4,2804
3205,7918,9893,1,2626
2274,12257,7227,4,2361
3617,7081,5153,4,2458
482,10883,7242,4,2670
7113,6977,6815,13,2535
10224,4665,5712,1,2539
6851,2007,9786,13,2245
5358,11982,4211,13,1149
6847,2007,9786,13,2236
4911,5599,3230,1,160
6041,13461,11181,1,2865
7474,1403,7085,9,1564
4081,7910,9901,1,1860
1067,10754,5626,4,1848
3204,7918,9893,1,1548
2300,12251,7247,4,1696
8263,3382,7013,13,1249
2683,12001,11069,9,1083
234,12492,1323,13,813
7516,277,11968,13,2734
6457,186,11968,13,2611
8130,7950,6104,13,1502
10129,10570,6051,13,625
1020,14155,5453,4,2548
2210,10014,5404,4,1773
9671,754,5706,13,7
1358,14587,7733,4,2361
8905,12383,936,5,216
6170,5722,6015,4,2865
6232,3422,10068,1,1807
163,7108,11968,13,2743
7413,8515,741,1,1091
3205,7918,9893,1,1405
2282,10096,6153,4,1564
3069,12228,3732,9,338
5817,12295,7246,4,2012
2198,9895,6158,4,2304
8023,4871,4564,1,1511
2274,12271,7206,4,2231
2208,14592,7232,4,2809
8569,2211,11968,13,813
3205,7918,9893,1,135
6058,9506,5479,1,2535
7919,1686,11057,13,296
10782,3964,11968,4,2779
451,9759,5412,4,1564
10801,11079,4193,4,309
8984,9098,7142,5,1249
9607,154,8011,1,367
2199,10011,5405,4,2736
4607,5279,6897,4,1323
3204,7918,9893,1,2535
1250,2610,9821,13,2325
3205,7918,9893,1,128
5993,10698,2650,1,748
2209,14604,5404,4,2535
9353,624,11968,13,2740
5888,4718,11968,1,1750
3945,14243,5591,4,343
8836,4535,1470,9,625
9589,9217,11968,13,2304
2789,9457,2912,1,2853
2298,12236,7262,4,1696
2209,9952,5407,4,1972
2210,10015,5404,4,2687
6729,14576,11720,13,759
7958,13663,5466,13,1487
